NAME;RECORD;NICKNAME;HEIGHT;WEIGHT;REACH;STANCE;DOB;SLpM;Str Acc;SApM;Str Def;TD Avg;TD Acc;TD Def;Sub Avg
Tom Aaron;5-3-0;;--;155 lbs.;--;;Jul 13, 1978;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Danny Abbadi;4-6-0;The Assassin;"5' 11""";155 lbs.;--;Orthodox;Jul 03, 1983;3.29;38 %;4.41;57 %;0.0;0 %;77 %;0.0
Nariman Abbasov;28-4-0;Bayraktar;"5' 8""";155 lbs.;"66""";Orthodox;Feb 01, 1994;3.0;20 %;5.67;46 %;0.0;0 %;66 %;0.0
Darion Abbey;9-5-0;;"6' 2""";265 lbs.;"80""";Orthodox;Feb 25, 1993;8.44;50 %;14.06;28 %;0.0;0 %;0 %;0.0
David Abbott;10-15-0;Tank;"6' 0""";265 lbs.;--;Switch;Apr 26, 1965;1.35;30 %;3.55;38 %;1.07;33 %;66 %;0.0
Hamdy Abdelwahab;6-1-0 (1 NC);The Hammer;"6' 2""";264 lbs.;"72""";Southpaw;Jan 22, 1993;3.49;49 %;4.49;51 %;1.33;66 %;100 %;0.0
Mansur Abdul-Malik;8-0-1;;"6' 2""";185 lbs.;"80""";Orthodox;Oct 07, 1997;4.27;48 %;3.49;51 %;0.49;33 %;82 %;0.0
Shamil Abdurakhimov;20-8-0;Abrek;"6' 3""";235 lbs.;"76""";Orthodox;Sep 02, 1981;2.41;44 %;3.02;55 %;1.01;23 %;45 %;0.1
Hiroyuki Abe;8-15-3 (1 NC);Abe Ani;"5' 6""";145 lbs.;--;Orthodox;Feb 09, 1970;1.71;36 %;3.11;63 %;0.0;0 %;33 %;0.0
Daichi Abe;6-2-0;;"5' 11""";170 lbs.;"71""";Orthodox;Nov 27, 1991;3.8;33 %;4.49;56 %;0.33;50 %;0 %;0.0
Papy Abedi;10-4-0;Makambo;"5' 11""";185 lbs.;--;Southpaw;Jun 30, 1978;2.8;55 %;3.15;48 %;3.47;57 %;50 %;1.3
Ricardo Abreu;5-1-0;Demente;"5' 11""";185 lbs.;--;Orthodox;Apr 27, 1984;3.79;31 %;3.98;68 %;2.13;42 %;100 %;0.7
Klidson Abreu;15-4-0 (1 NC);White Bear;"6' 0""";205 lbs.;"74""";Orthodox;Dec 24, 1992;2.05;40 %;2.9;55 %;0.64;20 %;80 %;0.0
Cyborg Abreu;0-0-0;;--;--;--;;Dec 20, 1980;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Daniel Acacio;30-18-0;;"5' 8""";180 lbs.;--;Orthodox;Dec 27, 1977;3.52;36 %;2.85;62 %;0.33;20 %;81 %;0.0
John Adajar;6-2-0;The Outlaw;"5' 9""";170 lbs.;"75""";Orthodox;Jun 22, 1991;3.9;52 %;6.28;44 %;0.0;0 %;0 %;0.0
Scott Adams;8-1-0;;"6' 0""";225 lbs.;--;Southpaw;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Juan Adams;5-3-0;The Kraken;"6' 5""";265 lbs.;"80""";Orthodox;Jan 16, 1992;7.09;55 %;4.06;34 %;0.91;66 %;57 %;0.0
Anthony Adams;8-2-0;Sugafoot;"6' 1""";185 lbs.;"76""";Orthodox;Jan 13, 1988;3.17;41 %;5.93;44 %;0.0;0 %;0 %;0.0
Zarrukh Adashev;4-4-0;The Lion;"5' 5""";125 lbs.;"65""";Southpaw;Jul 29, 1992;3.65;40 %;3.04;64 %;0.0;0 %;100 %;0.5
Israel Adesanya;24-5-0;The Last Stylebender;"6' 4""";185 lbs.;"80""";Switch;Jul 22, 1989;4.02;48 %;3.2;55 %;0.05;11 %;76 %;0.1
Sam Adkins;7-20-2;The Experience;"6' 3""";225 lbs.;--;Orthodox;Apr 26, 1965;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Mohamed Ado;5-1-0;;"5' 11""";170 lbs.;"76""";Switch;May 03, 2000;1.66;83 %;0.33;75 %;4.97;50 %;50 %;5.0
Nick Agallar;24-6-0;;"5' 8""";155 lbs.;--;Orthodox;Jan 13, 1979;0.69;11 %;4.56;42 %;0.0;0 %;0 %;0.0
Mariya Agapova;10-5-0;Money Mashka;"5' 6""";125 lbs.;"68""";Southpaw;Apr 07, 1997;4.43;54 %;3.62;52 %;0.55;66 %;45 %;0.8
Kantharaj Agasa;12-3-0;Kannadiga;--;135 lbs.;--;;Feb 16, 1992;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Marcelo Aguiar;2-3-1;;"5' 10""";170 lbs.;--;Orthodox;Jan 20, 1969;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Fabio Aguiar;17-1-0;;"6' 0""";185 lbs.;--;;Feb 10, 1988;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Edwin Aguilar;26-19-0 (1 NC);Tigre;"5' 10""";185 lbs.;--;;Jan 01, 1972;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Jessica Aguilar;20-8-0;Jag;"5' 3""";115 lbs.;"63""";Orthodox;May 08, 1982;4.93;50 %;7.19;53 %;0.94;25 %;50 %;0.2
Kevin Aguilar;17-5-0;Angel of Death;"5' 7""";155 lbs.;"73""";Orthodox;Sep 07, 1988;3.96;40 %;4.81;52 %;0.16;16 %;78 %;0.0
Jesus Aguilar;12-3-0;;"5' 4""";125 lbs.;"62""";Orthodox;Mar 13, 1996;2.65;40 %;1.85;62 %;1.64;31 %;48 %;1.4
Christian Aguilera;14-8-0;The Beast;"5' 9""";170 lbs.;"72""";Switch;Nov 25, 1991;2.54;37 %;4.04;48 %;0.0;0 %;60 %;0.0
Nick Aguirre;7-2-0;Slick;"5' 9""";135 lbs.;"74""";Southpaw;Jan 15, 1996;0.73;33 %;2.89;45 %;1.16;20 %;33 %;0.6
Agulali;13-2-0;;"5' 9""";125 lbs.;"67""";Switch;Apr 07, 2005;2.74;60 %;2.19;59 %;0.0;0 %;100 %;0.0
Ahejiang Ailinuer;15-3-0;;--;145 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Mike Aina;14-6-1 (1 NC);Iron;"5' 9""";155 lbs.;--;Orthodox;Dec 25, 1980;2.87;33 %;6.33;59 %;0.0;0 %;71 %;0.0
Ashiek Ajim;6-2-0;Peak Physique;"5' 8""";135 lbs.;"71""";Switch;Jun 19, 1994;5.0;40 %;11.25;25 %;0.0;0 %;0 %;0.0
Hitomi Akano;18-10-0;Girlfight Monster;"5' 4""";135 lbs.;--;Southpaw;Jul 27, 1974;0.59;45 %;2.58;55 %;0.0;0 %;8 %;0.5
Omari Akhmedov;21-6-1;Wolverine;"6' 0""";185 lbs.;"73""";Orthodox;Oct 12, 1987;2.97;34 %;2.84;55 %;2.58;45 %;65 %;0.2
Yoshihiro Akiyama;14-6-0 (2 NC);;"5' 10""";170 lbs.;"75""";Orthodox;Jul 29, 1975;3.1;41 %;3.62;57 %;2.29;67 %;92 %;1.0
Rostem Akman;6-2-0;;"5' 10""";170 lbs.;"72""";Switch;Dec 19, 1991;1.8;25 %;3.97;57 %;1.0;40 %;87 %;0.0
Razak Al-Hassan;13-5-0;;"6' 2""";205 lbs.;--;Orthodox;May 14, 1982;3.27;39 %;3.14;60 %;0.65;14 %;57 %;0.0
Abdul-Kareem Al-Selwady;15-4-0;Pride of Palestine;"5' 8""";155 lbs.;"69""";Orthodox;Apr 10, 1995;4.14;34 %;3.6;59 %;2.32;30 %;20 %;0.0
Mostapha Al-Turk;6-6-0;;"6' 2""";245 lbs.;"77""";Orthodox;Jul 14, 1973;1.36;19 %;3.61;53 %;0.0;0 %;0 %;0.0
Herdem Alacabek;5-1-0;;"6' 2""";205 lbs.;"75""";Orthodox;Jun 07, 1991;3.84;65 %;6.66;23 %;2.06;50 %;42 %;0.0
Javi Alanis;0-4-0;;"5' 6""";135 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Alatengheili;17-10-2;The Mongolian Knight;"5' 5""";135 lbs.;"66""";Orthodox;Dec 14, 1991;2.82;32 %;5.12;57 %;1.74;43 %;75 %;0.0
Amir Albazi;17-2-0;The Prince;"5' 5""";125 lbs.;"68""";Orthodox;Oct 27, 1993;2.72;34 %;3.71;61 %;1.39;32 %;50 %;0.5
Brett Albee;3-2-0;;--;225 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
John Albert;6-5-0;Prince;"5' 8""";135 lbs.;"68""";Orthodox;Oct 13, 1986;3.05;49 %;2.82;35 %;0.0;0 %;50 %;6.1
Junior Albini;14-6-0;Baby;"6' 3""";264 lbs.;"74""";Orthodox;Mar 15, 1991;3.98;51 %;6.08;52 %;1.54;37 %;100 %;0.0
Wes Albritton;0-1-0;;"5' 10""";188 lbs.;--;Orthodox;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Aleksandra Albu;3-2-0;Stitch;"5' 2""";115 lbs.;"63""";Orthodox;Jul 14, 1990;4.83;47 %;5.56;38 %;2.27;50 %;77 %;0.4
Israel Albuquerque;0-3-0;;--;185 lbs.;--;Orthodox;--;0.32;13 %;3.34;25 %;0.0;0 %;0 %;0.0
Juan Alcain;1-2-0;;--;--;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Iuri Alcantara;35-10-0 (1 NC);Marajo;"5' 9""";135 lbs.;"71""";Southpaw;Aug 04, 1980;2.72;45 %;2.79;49 %;1.44;62 %;60 %;0.8
Ildemar Alcantara;21-11-0;Marajo;"6' 2""";185 lbs.;"78""";Orthodox;Nov 18, 1982;1.93;38 %;2.63;50 %;2.0;68 %;81 %;0.9
Alfonso Alcarez;1-3-1;;"5' 3""";145 lbs.;--;;Jun 10, 1970;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Gilbert Aldana;6-2-0;El Peligro;"6' 1""";250 lbs.;--;Orthodox;Aug 25, 1977;2.91;54 %;6.26;26 %;2.57;40 %;33 %;0.0
Irene Aldana;15-8-0;;"5' 9""";135 lbs.;"68""";Orthodox;Mar 26, 1988;5.19;39 %;6.64;56 %;0.15;50 %;77 %;0.2
Hector Aldana;4-3-0;;"5' 11""";170 lbs.;"72""";Orthodox;Aug 17, 1988;3.59;38 %;5.08;59 %;0.93;100 %;0 %;0.0
Jose Alday;14-6-1;Pochito;"5' 7""";135 lbs.;"68""";Orthodox;Sep 14, 1991;3.13;44 %;3.13;58 %;0.0;0 %;57 %;0.0
Jose Aldo;32-10-0;;"5' 7""";135 lbs.;"70""";Orthodox;Sep 09, 1986;3.65;46 %;3.81;60 %;0.47;51 %;92 %;0.1
JJ Aldrich;14-7-0;;"5' 5""";125 lbs.;"67""";Southpaw;Sep 29, 1992;3.96;47 %;4.32;61 %;0.75;26 %;67 %;0.0
Irina Alekseeva;5-4-0;Russian Ronda;"5' 8""";135 lbs.;"67""";Orthodox;Jun 27, 1990;3.42;38 %;5.02;45 %;0.38;20 %;50 %;0.4
Talita Alencar;6-1-1;Problem Child;"5' 1""";115 lbs.;"58""";Orthodox;Oct 17, 1990;2.62;33 %;3.77;53 %;2.5;20 %;50 %;0.2
Jim Alers;13-3-0 (1 NC);The Beast;"5' 9""";145 lbs.;"71""";Orthodox;Oct 14, 1986;2.9;40 %;4.38;56 %;2.26;41 %;80 %;0.3
John Alessio;35-17-0 (2 NC);The Natural;"5' 10""";155 lbs.;"72""";Orthodox;Jul 05, 1979;2.1;39 %;2.91;54 %;1.85;38 %;70 %;1.2
Houston Alexander;17-15-1 (2 NC);The Assassin;"6' 0""";205 lbs.;"72""";Orthodox;Mar 22, 1972;3.06;54 %;3.2;52 %;1.19;57 %;33 %;0.0
Kenneth Alexander;7-6-0 (1 NC);The Machine;"5' 9""";155 lbs.;--;Orthodox;Sep 25, 1977;0.88;19 %;2.2;66 %;4.71;26 %;0 %;0.0
Lucas Alexander;8-5-0;The Lion;"5' 11""";145 lbs.;"73""";Orthodox;Jul 28, 1995;4.69;57 %;2.87;56 %;0.0;0 %;60 %;0.0
Marcio Alexandre Junior;17-4-0;Lyoto;"6' 0""";185 lbs.;"75""";Southpaw;May 05, 1989;1.61;45 %;2.89;42 %;0.35;20 %;66 %;0.7
Olaf Alfonso;8-12-0;;"6' 2""";170 lbs.;--;Orthodox;Aug 06, 1974;1.65;38 %;4.77;53 %;0.37;7 %;22 %;0.7
Pablo Alfonso;9-7-0;The Hurricane;"5' 8""";145 lbs.;--;;May 09, 1983;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Levi Alford;1-7-0;;--;--;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Bill Algeo;18-9-0;Senor Perfecto;"6' 0""";145 lbs.;"73""";Switch;Jun 09, 1989;5.88;51 %;4.38;47 %;1.03;50 %;55 %;0.1
Royce Alger;3-2-0;;"5' 10""";199 lbs.;--;Orthodox;Mar 06, 1965;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Amir Aliakbari;10-1-0;;"6' 3""";250 lbs.;--;;Jun 10, 1984;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Sultan Aliev;15-3-0;;"5' 11""";170 lbs.;"74""";Orthodox;Sep 17, 1984;1.41;45 %;2.2;56 %;1.76;38 %;100 %;0.0
Nurullo Aliev;10-0-0;Tajik Eagle;"5' 10""";155 lbs.;"72""";Orthodox;Dec 08, 2000;2.43;45 %;1.07;58 %;2.6;54 %;0 %;0.0
Ikram Aliskerov;16-2-0;;"6' 0""";185 lbs.;"76""";Southpaw;Dec 07, 1992;7.76;62 %;5.78;41 %;1.14;33 %;100 %;1.1
Leon Aliu;10-2-0;The Albanian Lion;"6' 0""";185 lbs.;"74""";Orthodox;Jul 14, 1989;6.32;50 %;10.11;38 %;0.0;0 %;0 %;0.0
John Allan;13-7-0 (1 NC);;"6' 1""";205 lbs.;"75""";Orthodox;Feb 22, 1993;3.56;42 %;5.74;52 %;1.4;71 %;50 %;0.8
George Allen;13-19-2;;"6' 2""";205 lbs.;--;Open Stance;Jan 13, 1967;0.8;38 %;3.1;43 %;0.0;0 %;50 %;0.0
Arnold Allen;20-3-0;Almighty;"5' 8""";145 lbs.;"70""";Southpaw;Jan 22, 1994;3.45;41 %;2.88;61 %;0.93;47 %;75 %;0.3
Brendan Allen;26-7-0;All In;"6' 2""";185 lbs.;"75""";Orthodox;Dec 28, 1995;3.59;53 %;3.62;47 %;1.56;42 %;56 %;1.1
Daniel Allen;5-0-0;;"6' 0""";155 lbs.;"75""";Southpaw;Aug 10, 1992;7.6;51 %;5.87;53 %;2.0;66 %;100 %;0.0
Ben Alloway;18-8-0;Blanco;"5' 11""";170 lbs.;"76""";Orthodox;Feb 19, 1981;1.28;49 %;1.9;59 %;0.62;50 %;26 %;0.0
Asu Almabayev;22-3-0;Zulfikar;"5' 4""";125 lbs.;"65""";Orthodox;Jan 25, 1994;2.16;54 %;1.75;52 %;4.66;43 %;50 %;1.5
Bekzat Almakhan;12-2-0;The Turan Warrior;"5' 7""";135 lbs.;"68""";Orthodox;Oct 08, 1997;0.68;40 %;4.29;32 %;0.0;0 %;0 %;0.0
John Dave Almanza;6-1-0;The Striker;"5' 7""";125 lbs.;"67""";Southpaw;Mar 22, 2004;1.92;41 %;5.75;27 %;0.0;0 %;0 %;0.0
Ricardo Almeida;13-5-0;Big Dog;"6' 0""";170 lbs.;"74""";Orthodox;Nov 29, 1976;2.02;49 %;1.2;61 %;3.74;38 %;31 %;1.2
Magno Almeida;10-3-0 (1 NC);;"6' 0""";155 lbs.;--;;Jun 06, 1985;1.67;36 %;2.6;41 %;0.0;0 %;40 %;5.0
Thomas Almeida;22-5-0;Thominhas;"5' 7""";145 lbs.;"70""";Southpaw;Jul 31, 1991;4.84;43 %;4.93;61 %;0.17;14 %;75 %;0.0
Ericka Almeida;7-3-0;;"5' 6""";115 lbs.;--;Orthodox;Mar 05, 1989;1.07;39 %;3.33;43 %;0.5;33 %;37 %;0.0
Estefani Almeida;7-3-0;;"5' 4""";125 lbs.;--;Orthodox;Oct 17, 1988;3.13;37 %;6.07;42 %;0.0;0 %;0 %;0.0
Jailton Almeida;22-3-0;Malhadinho;"6' 3""";205 lbs.;"79""";Orthodox;Jun 26, 1991;2.62;65 %;0.89;41 %;6.58;60 %;60 %;2.4
Lucas Almeida;15-5-0;;"5' 11""";145 lbs.;"71""";Orthodox;Jan 31, 1991;4.94;39 %;5.36;44 %;0.0;0 %;53 %;0.0
Cesar Almeida;7-1-0;Cesinha;"6' 1""";185 lbs.;"74""";Orthodox;Mar 28, 1988;4.16;58 %;2.32;48 %;0.0;0 %;60 %;0.3
Mauricio Alonso;13-7-0 (1 NC);;"6' 2""";170 lbs.;--;;Feb 27, 1980;5.74;34 %;1.91;67 %;0.0;0 %;0 %;0.0
Sarah Alpar;9-6-0;Too Sweet;"5' 4""";135 lbs.;"63""";Southpaw;Jun 01, 1991;2.36;44 %;6.06;38 %;1.61;26 %;20 %;0.4
Ali AlQaisi;8-5-0;The Royal Fighter;"5' 6""";135 lbs.;"68""";Orthodox;Sep 23, 1990;2.43;42 %;1.97;56 %;3.5;29 %;60 %;1.0
Rico Altamirano;4-3-0;;"5' 10""";170 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Victor Altamirano;12-5-0;El Magnifico;"5' 8""";125 lbs.;"70""";Switch;Jan 23, 1991;4.58;53 %;3.82;53 %;2.88;38 %;63 %;0.0
Mike Altman;1-4-0;;"5' 10""";185 lbs.;--;Orthodox;--;1.56;20 %;2.08;75 %;0.0;0 %;0 %;0.0
Patricia Alujas;9-3-0;The Angel;"5' 4""";115 lbs.;"64""";Orthodox;May 08, 1996;5.83;31 %;9.25;44 %;0.0;0 %;0 %;0.0
Sean Alvarez;4-3-0;;"6' 0""";235 lbs.;--;Orthodox;Jul 14, 1971;0.89;37 %;3.25;47 %;0.0;0 %;0 %;0.0
Eddie Alvarez;29-6-0 (1 NC);;"5' 9""";155 lbs.;"69""";Orthodox;Jan 11, 1984;4.32;41 %;4.39;55 %;2.92;36 %;92 %;0.5
Jaime Alvarez;6-1-0;;"5' 8""";125 lbs.;"69""";Orthodox;Mar 08, 1988;2.73;40 %;4.53;56 %;1.0;33 %;50 %;0.0
Joel Alvarez;23-3-0;El Fenomeno;"6' 3""";155 lbs.;"77""";Orthodox;Mar 02, 1993;4.78;55 %;3.07;54 %;0.19;33 %;47 %;1.1
Thiago Alves;23-15-0;Pitbull;"5' 9""";170 lbs.;"70""";Orthodox;Oct 03, 1983;3.73;41 %;3.42;62 %;0.71;60 %;63 %;0.3
Anthony Alves;1-4-0;;--;--;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Amilcar Alves;15-12-0;;"6' 0""";170 lbs.;--;Southpaw;Aug 08, 1988;0.5;46 %;2.02;30 %;0.0;0 %;53 %;0.0
Warlley Alves;15-8-0;;"5' 11""";185 lbs.;"72""";Orthodox;Jan 04, 1991;3.04;48 %;3.95;50 %;1.22;50 %;62 %;0.8
Rafael Alves;20-12-0;The Turn;"5' 8""";155 lbs.;"68""";Orthodox;Nov 14, 1990;1.85;48 %;3.3;58 %;0.29;25 %;44 %;1.5
Sam Alvey;33-18-1 (1 NC);Smile'N;"6' 2""";185 lbs.;"75""";Southpaw;May 06, 1986;3.28;44 %;3.63;52 %;0.06;14 %;82 %;0.1
Christopher Alvidrez;7-1-0;The Newborn;"6' 0""";170 lbs.;"74""";Orthodox;Dec 27, 1996;6.97;62 %;2.11;50 %;0.0;0 %;100 %;0.0
Mahamed Aly;4-1-0;;"6' 2""";205 lbs.;"78""";Orthodox;Jan 11, 1994;6.0;66 %;12.0;33 %;0.0;0 %;0 %;0.0
Andre Amado;6-4-1;Dida;"6' 0""";154 lbs.;--;Orthodox;Oct 09, 1983;2.27;24 %;5.91;63 %;0.0;0 %;20 %;0.0
Adlan Amagov;14-2-1;Borz;"6' 2""";170 lbs.;"76""";Orthodox;Oct 30, 1986;3.29;47 %;0.82;78 %;5.84;56 %;100 %;0.0
Maiara Amanajas dos Santos;7-3-0;;"5' 5""";115 lbs.;--;Southpaw;Jul 11, 1987;5.53;35 %;24.47;33 %;0.0;0 %;100 %;0.0
Chris Amarante;2-0-0;;--;185 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Jimmy Ambriz;17-21-1;The Titan;"6' 2""";315 lbs.;--;Southpaw;Jan 26, 1970;0.83;29 %;3.76;40 %;3.13;57 %;100 %;0.8
JJ Ambrose;28-7-0 (2 NC);;"5' 10""";170 lbs.;--;Orthodox;Feb 06, 1987;3.16;69 %;6.32;33 %;0.0;0 %;50 %;0.0
Alen Amedovski;8-4-0;;"5' 10""";185 lbs.;"74""";Orthodox;Apr 06, 1988;0.99;30 %;3.85;46 %;0.0;0 %;0 %;0.0
Hyder Amil;11-1-0;The Hurricane;"5' 9""";145 lbs.;"70""";Switch;May 28, 1990;6.84;57 %;4.18;51 %;0.77;20 %;81 %;1.2
